tos1a
openloop
10
200
2016-04-06 22:56:09
"c_fan","c_lamp","c_led","t_sim","s_rate"
"20","60","0","10","200"
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
27.31,28.73,0.0000,27.27,0.0000,0.00,0.0000,2.53,0.0000,0.01,0.00,0.00,0.0000,0.00,0.1256
27.31,28.86,0.4076,27.19,0.2474,32.23,0.7895,54.25,128.7463,0.56,6.96,0.05,5.0930,1228.72,4752.7792
27.19,28.96,0.0322,27.19,-0.2070,32.36,0.2718,71.16,43.8195,0.56,6.96,0.05,4.4044,2046.35,2824.0779
27.25,29.05,0.6586,27.18,0.2785,32.43,0.2340,77.16,13.9313,0.56,6.96,0.03,4.2989,2506.78,1504.4952
27.38,29.14,0.3766,27.16,-0.0185,32.46,0.1329,79.05,4.5568,0.57,6.97,0.04,4.2755,2759.35,769.3445
27.38,29.20,0.2829,27.14,0.0556,32.47,0.1495,79.61,1.7341,0.55,6.96,0.04,4.2799,2912.53,626.3201
27.25,29.26,0.4030,27.12,-0.0338,32.49,0.0422,79.81,0.4564,0.57,6.97,0.04,4.2703,3019.98,488.1691
27.19,29.33,-0.0133,27.10,-0.3035,32.51,0.0038,79.89,0.1948,0.56,6.97,0.03,4.2762,3111.69,298.9295
27.31,29.38,-0.0794,27.08,-0.0859,32.52,0.0440,79.91,0.0103,0.58,6.97,0.05,4.2777,3175.58,250.8504
27.19,29.44,0.1727,27.05,-0.2928,32.53,-0.0685,79.92,-0.1979,0.56,6.97,0.03,4.2777,3229.41,266.8446
27.38,29.49,0.3173,27.03,-0.3010,32.54,0.0083,79.92,-0.1747,0.55,6.97,0.04,4.3048,3273.15,170.1491
27.38,29.54,0.2032,27.01,-0.0928,32.55,0.0043,79.92,-0.0873,0.55,6.97,0.04,4.2747,3303.43,105.2575
27.31,29.58,0.1187,27.00,-0.0958,32.56,0.0321,79.92,0.0818,0.56,6.97,0.03,4.2784,3327.99,153.8290
27.38,29.63,0.1215,26.98,0.0794,32.56,-0.0293,79.92,0.1108,0.56,6.97,0.03,4.2747,3349.90,105.7537
27.31,29.67,-0.0586,26.96,-0.4278,32.57,0.0398,79.92,-0.0551,0.55,6.97,0.03,4.2740,3365.70,68.3790
27.31,29.72,-0.0034,26.94,-0.2590,32.58,-0.0009,79.92,-0.1000,0.55,6.97,0.04,4.2117,3377.09,93.2416
27.25,29.76,0.0364,26.92,-0.4331,32.59,-0.0499,79.92,-0.0767,0.56,6.97,0.04,4.2733,3389.92,38.0632
27.31,29.80,0.1411,26.90,-0.0844,32.59,0.2065,79.92,-0.0824,0.55,6.97,0.03,4.2755,3398.66,34.7116
27.31,29.84,0.2671,26.88,0.0775,32.60,0.1817,79.92,0.1209,0.56,6.97,0.04,4.2491,3403.54,60.8223
27.19,29.88,0.2778,26.86,-0.1866,32.61,-0.0254,79.92,0.0228,0.56,6.96,0.03,4.2777,3410.56,16.5742
27.25,29.92,0.0062,26.83,-0.5840,32.61,0.0137,79.91,-0.0391,0.55,6.97,0.03,4.2762,3414.43,15.6741
27.25,29.95,0.1017,26.81,-0.3265,32.62,-0.1115,79.91,-0.0590,0.55,6.97,0.04,4.2681,3414.76,-14.9252
27.31,29.99,0.1324,26.79,0.1311,32.63,0.1199,79.92,-0.1382,0.55,6.97,0.03,4.2769,3419.81,12.5607
27.19,30.03,0.2487,26.77,-0.2283,32.63,-0.0882,79.91,-0.2099,0.56,6.97,0.03,4.2725,3422.01,9.5500
27.25,30.07,0.1383,26.76,-0.3518,32.64,-0.0125,79.91,-0.1580,0.55,6.97,0.04,4.2711,3421.07,47.9493
27.00,30.11,0.0258,26.74,-0.2523,32.65,-0.0326,79.91,-0.0261,0.55,6.97,0.04,4.2689,3425.19,4.1525
27.12,30.15,0.2957,26.72,0.1002,32.65,0.0134,79.91,0.1225,0.56,6.97,0.03,4.2747,3426.67,6.2352
27.00,30.18,0.1864,26.71,-0.1906,32.66,-0.0085,79.91,-0.0214,0.55,6.97,0.04,4.2454,3426.29,36.2800
27.00,30.22,0.1599,26.70,-0.1036,32.66,-0.0591,79.91,0.0258,0.55,6.97,0.03,4.2718,3428.78,3.6886
26.94,30.25,0.3981,26.69,0.2761,32.67,0.1395,79.91,0.1278,0.56,6.98,0.04,4.2762,3429.31,1.0616
27.12,30.29,0.0918,26.68,-0.3889,32.68,0.0109,79.91,0.0154,0.55,6.97,0.04,4.2645,3428.47,35.1241
27.19,30.32,0.3505,26.66,0.1729,32.68,0.0612,79.91,0.2149,0.55,6.97,0.03,4.2740,3430.06,-34.9483
