tos1a
matlab


2016-03-25 18:43:48
"P","I","D","c_fan","c_led","c_lamp","ctrltyp","in_sw","out_sw","t_sim","s_rate","input","scifun"
0.8,2.95,0,20,0,50,"NO",3,1,15,100,30,"y1=u1"
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
29.00,32.38,0.0355,27.45,-0.1778,0.00,0.0000,9.62,-4.1260,0.02,0.00,0.00,0.0000,0.35,-1.7521
29.00,32.38,0.0355,27.45,-0.1778,0.00,0.0000,9.62,-4.1260,0.02,0.00,0.00,0.0000,0.35,-1.7521
29.00,32.40,0.3795,27.45,-0.0363,25.30,21.2575,21.65,285.2871,0.50,5.77,0.10,9.1436,246.51,5212.6534
29.00,32.41,0.4058,27.45,-0.2356,25.75,19.9053,27.59,255.8001,0.50,5.77,0.10,8.6440,355.10,4667.0082
29.00,32.41,0.0791,27.44,-0.4696,26.02,18.8332,31.01,238.8230,0.49,5.77,0.10,8.3868,417.38,4355.0047
29.00,32.44,0.5433,27.43,0.3338,27.51,11.9308,49.55,145.6000,0.50,5.78,0.07,7.3619,1006.84,6384.3033
29.00,32.46,-0.0243,27.42,-0.4928,28.43,7.2869,60.78,89.2076,0.51,5.78,0.07,6.9626,1547.25,5331.0752
29.00,32.48,0.3237,27.41,0.1470,29.03,4.3987,68.11,52.4791,0.50,5.78,0.06,6.8593,2046.33,4131.8781
29.00,32.50,0.1504,27.39,0.1900,29.37,2.8090,72.09,32.4534,0.50,5.79,0.07,6.7407,2425.69,3374.2622
29.00,32.51,0.2436,27.38,0.0728,29.58,1.6645,74.58,19.9899,0.50,5.78,0.06,6.7341,2757.48,3641.3811
29.00,32.52,-0.0680,27.36,0.0309,29.72,1.2205,76.14,12.2983,0.49,5.78,0.06,6.7114,3058.19,2999.2262
29.00,32.53,0.1373,27.35,-0.2333,29.81,0.5741,77.07,7.3377,0.49,5.78,0.06,6.6505,3316.65,2496.3935
29.00,32.53,-0.2803,27.33,-0.2882,29.86,0.4052,77.67,4.1563,0.49,5.78,0.05,6.7150,3554.65,1978.0792
29.00,32.53,-0.0219,27.32,-0.0927,29.89,0.2483,78.01,2.6068,0.50,5.78,0.06,6.7077,3745.55,1660.9402
29.00,32.52,-0.4995,27.30,-0.3208,29.92,0.1864,78.22,1.6457,0.50,5.78,0.06,6.7099,3927.43,1848.4425
29.00,32.51,-0.0856,27.29,-0.0836,29.94,0.2559,78.34,1.2401,0.50,5.79,0.07,6.6916,4082.99,1514.0514
29.00,32.50,-0.3023,27.27,-0.0277,29.95,0.4005,78.42,0.6318,0.50,5.78,0.05,6.7172,4220.64,1247.9640
29.00,32.48,-0.2369,27.26,-0.4251,29.96,0.0379,78.47,0.4595,0.49,5.78,0.07,6.7084,4339.78,1009.6734
29.00,32.47,-0.0237,27.24,-0.0042,29.96,0.0347,78.50,0.3700,0.50,5.78,0.05,6.7128,4444.30,1177.2555
29.00,32.45,-0.6542,27.22,-0.2259,29.97,0.0461,78.51,0.2498,0.50,5.79,0.06,6.7187,4546.36,915.2218
29.00,32.43,0.0139,27.21,0.1278,29.98,0.2320,78.52,0.0753,0.50,5.78,0.06,6.7121,4629.04,824.5697
29.00,32.41,-0.2473,27.19,-0.4070,29.98,-0.0128,78.53,-0.1101,0.50,5.79,0.06,6.7004,4701.83,632.3693
29.00,32.39,-0.3868,27.18,0.0356,29.98,0.1487,78.54,0.0475,0.50,5.78,0.06,6.7026,4770.37,551.6221
29.00,32.36,-0.5553,27.16,-0.3169,29.99,0.1111,78.54,0.0339,0.50,5.79,0.06,6.7070,4829.03,594.7312
29.00,32.34,-0.2668,27.14,-0.1579,29.99,0.2103,78.54,0.1023,0.49,5.78,0.06,6.7011,4879.86,460.7237
29.00,32.31,-0.1646,27.13,0.0846,29.99,0.0746,78.54,0.1317,0.50,5.79,0.07,6.7084,4925.20,429.5401
29.00,32.28,-0.5243,27.11,-0.3334,30.00,-0.0871,78.54,0.0071,0.49,5.79,0.06,6.7106,4965.82,330.2947
29.00,32.26,-0.1874,27.10,0.1967,30.00,-0.0254,78.54,-0.0869,0.50,5.79,0.05,6.7158,4998.76,373.4094
29.00,32.24,0.1184,27.08,0.1844,30.00,0.1822,78.54,0.0240,0.51,5.78,0.05,6.7179,5030.11,306.0008
29.00,32.21,-0.1994,27.06,-0.2175,30.00,0.0222,78.54,0.1039,0.50,5.78,0.07,6.7033,5057.35,254.1557
29.00,32.18,-0.3698,27.05,-0.2536,30.01,-0.0248,78.54,0.1879,0.49,5.79,0.05,6.7084,5082.47,204.6349
29.00,32.16,0.0347,27.03,-0.0570,30.01,0.0678,78.54,-0.1329,0.49,5.79,0.06,6.7055,5102.72,223.8598
29.00,32.13,-0.4225,27.02,-0.2933,30.01,0.0795,78.54,0.2125,0.49,5.79,0.05,6.7209,5121.37,188.4553
29.00,32.11,0.0807,27.01,0.2886,30.01,0.3313,78.54,0.1105,0.49,5.78,0.05,6.7187,5137.46,151.3277
29.00,32.09,-0.3906,26.99,-0.4693,30.02,0.0002,78.54,-0.1102,0.50,5.79,0.05,6.7143,5150.87,127.1624
29.00,32.07,-0.2925,26.98,-0.3766,30.02,0.0359,78.54,0.0945,0.49,5.79,0.05,6.7106,5164.18,105.2111
29.00,32.05,-0.1300,26.97,-0.2771,30.02,0.1679,78.54,0.0267,0.49,5.79,0.05,6.7179,5175.33,118.9116
29.00,32.03,-0.2919,26.95,-0.1068,30.02,0.1824,78.54,-0.0473,0.49,5.78,0.07,6.7026,5185.54,97.9934
29.00,32.00,-0.1204,26.93,-0.0272,30.03,0.1700,78.54,0.0861,0.49,5.79,0.07,6.6886,5194.38,84.1867
29.00,31.98,0.3482,26.92,0.3206,30.03,-0.0359,78.54,0.0179,0.50,5.79,0.05,6.7114,5202.25,59.8173
29.00,31.96,-0.4933,26.91,-0.4752,30.03,-0.0012,78.54,-0.1056,0.50,5.79,0.05,6.7040,5208.69,70.7941
29.00,31.94,-0.0577,26.90,0.2795,30.04,0.2004,78.54,0.0112,0.50,5.79,0.05,6.7179,5214.39,49.2258
29.00,31.92,-0.1444,26.89,-0.1486,30.04,0.0442,78.54,-0.2446,0.49,5.79,0.06,6.7018,5219.52,44.7785
29.00,31.90,-0.3488,26.87,-0.0466,30.04,-0.1095,78.54,-0.0014,0.50,5.78,0.06,6.7143,5223.76,37.5277
29.00,31.88,-0.2710,26.86,-0.3192,30.04,-0.0675,78.54,-0.0713,0.49,5.78,0.05,6.7179,5226.70,37.0777
29.00,31.86,-0.5718,26.85,-0.5009,30.04,-0.1027,78.54,-0.0694,0.49,5.79,0.06,6.7106,5229.94,36.6423
29.00,31.84,-0.1110,26.84,-0.0514,30.04,-0.0331,78.54,0.0986,0.49,5.79,0.05,6.7172,5233.10,29.2305
29.00,31.82,-0.3222,26.82,-0.3746,30.04,-0.0398,78.54,0.2116,0.50,5.79,0.05,6.7143,5235.90,22.0891
29.00,31.81,-0.5106,26.81,-0.0376,30.05,-0.0016,78.54,0.0642,0.50,5.79,0.07,6.7656,5238.08,17.7453
29.00,31.79,0.0179,26.80,-0.2186,30.05,0.0980,78.54,-0.1625,0.50,5.78,0.06,6.6960,5239.79,23.6491
29.00,31.77,-0.1292,26.78,0.0373,30.05,0.0430,78.54,0.2108,0.49,5.78,0.06,6.7055,5241.88,20.0584
29.00,31.75,-0.0762,26.77,0.0188,30.05,-0.0188,78.54,-0.0273,0.49,5.79,0.05,6.7121,5243.79,17.3391
29.00,31.73,-0.1199,26.76,-0.1557,30.05,0.1146,78.54,-0.0285,0.49,5.78,0.05,6.7766,5244.87,20.1565
29.00,31.72,0.0044,26.75,-0.0090,30.05,0.2802,78.53,0.0733,0.49,5.79,0.07,6.6908,5246.24,6.0600
29.00,31.71,-0.2218,26.74,-0.1622,30.06,0.0964,78.54,0.0199,0.50,5.79,0.05,6.7136,5247.13,13.5102
29.00,31.69,0.1280,26.72,0.2088,30.06,-0.0113,78.54,0.1143,0.49,5.79,0.07,6.7048,5248.34,9.3341
29.00,31.68,-0.4165,26.71,-0.3758,30.06,0.2064,78.54,0.0169,0.49,5.78,0.06,6.7824,5247.57,-9.6824
29.00,31.67,0.2911,26.70,0.1482,30.06,0.1487,78.54,0.2379,0.49,5.79,0.05,6.7121,5251.35,-0.3575
29.00,31.65,-0.1027,26.69,-0.1586,30.06,0.0230,78.54,-0.0290,0.50,5.79,0.05,6.7099,5251.35,0.8889
29.00,31.64,-0.1917,26.68,-0.0837,30.06,-0.0318,78.54,0.0644,0.50,5.79,0.05,6.7099,5250.74,-11.6102
29.00,31.62,-0.3566,26.67,-0.3007,30.07,0.1021,78.54,0.1156,0.49,5.79,0.05,6.7516,5253.13,35.2702
29.00,31.61,-0.1199,26.65,0.0902,30.07,0.1855,78.54,0.1433,0.50,5.79,0.05,6.7062,5253.85,1.4232
29.00,31.60,0.0428,26.64,0.0785,30.07,-0.0753,78.53,-0.1670,0.49,5.79,0.05,6.7158,5253.39,-9.9619
29.00,31.58,-0.0237,26.63,-0.1080,30.07,0.1660,78.53,0.0015,0.49,5.79,0.05,6.7070,5254.22,38.1177
29.00,31.56,-0.0008,26.62,0.0800,30.07,0.1152,78.53,0.0050,0.49,5.79,0.05,6.7136,5256.17,5.3525
