tos1a
matlab
15
100
2016-03-27 16:33:15
"P","I","D","c_fan","c_led","c_lamp","ctrltyp","in_sw","out_sw","t_sim","s_rate","input","scifun"
0.8,2.95,0,20,0,50,"NO",3,1,15,100,30,"y1=u1"
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
28.31,30.71,-0.0500,27.43,-0.0767,0.00,0.0000,0.57,0.0120,0.01,0.00,0.00,0.0000,1.63,-8.2109
28.38,30.71,-0.0500,27.43,-0.0767,0.00,0.0000,0.57,0.0120,0.01,0.00,0.00,0.0000,1.63,-8.2109
28.38,30.68,0.9356,27.36,0.5123,24.61,17.1033,7.41,357.7514,0.49,5.78,0.11,9.8601,112.70,5894.5152
28.38,30.70,0.3863,27.37,0.1967,25.57,20.1558,22.38,285.7449,0.49,5.78,0.10,8.6425,357.68,4663.6828
28.38,30.71,0.5692,27.37,0.2456,26.08,18.1702,29.51,249.9846,0.49,5.78,0.10,8.1744,513.85,6755.7063
28.38,30.75,-0.0016,27.38,-0.0914,27.49,11.1477,48.87,152.4062,0.49,5.78,0.07,7.2821,1090.85,5958.9627
28.31,30.79,0.2034,27.39,0.2478,28.32,7.2392,60.12,96.1488,0.49,5.78,0.07,6.9458,1589.76,5133.5907
28.31,30.81,0.1507,27.38,-0.3525,28.91,4.1682,68.08,56.1546,0.49,5.78,0.07,6.7919,2084.44,3935.9978
28.31,30.84,-0.0156,27.38,-0.0552,29.21,2.8096,72.06,36.5233,0.49,5.79,0.07,6.7407,2429.90,3363.3900
28.31,30.86,0.2617,27.37,0.0040,29.44,1.6880,75.02,21.4168,0.49,5.78,0.06,6.7297,2790.26,3469.1971
28.38,30.87,0.1630,27.36,0.1181,29.57,1.0858,76.69,13.2074,0.49,5.78,0.07,6.7026,3082.61,2860.0639
28.38,30.88,0.2937,27.36,0.1574,29.65,0.6865,77.68,8.0169,0.49,5.78,0.06,6.7062,3330.61,2407.4324
28.38,30.89,-0.1178,27.34,-0.2165,29.70,0.3263,78.30,4.9236,0.48,5.78,0.06,6.7092,3550.26,1972.9178
28.38,30.90,-0.3750,27.33,-0.2002,29.74,0.2070,78.68,3.0987,0.48,5.78,0.07,6.7026,3745.54,1635.4009
28.38,30.90,-0.1496,27.32,-0.1676,29.76,0.1980,78.91,1.6904,0.49,5.78,0.05,6.7121,3918.95,1857.7801
28.38,30.90,-0.0332,27.31,-0.1803,29.77,0.1515,79.05,1.2611,0.48,5.78,0.06,6.7004,4076.69,1505.9158
28.31,30.90,-0.2072,27.29,-0.1176,29.78,0.1738,79.13,0.8401,0.49,5.78,0.05,6.7121,4211.85,1238.8461
28.31,30.90,-0.2551,27.28,-0.1125,29.79,0.0508,79.19,0.5976,0.49,5.79,0.05,6.7165,4331.04,1012.9755
28.31,30.89,-0.2646,27.27,-0.4066,29.79,0.0217,79.22,0.3116,0.50,5.79,0.05,6.7040,4446.56,1111.1624
28.31,30.89,-0.1817,27.25,-0.2241,29.80,0.0263,79.24,0.0500,0.49,5.79,0.06,6.7004,4539.45,897.7091
28.31,30.88,0.1114,27.24,-0.2321,29.80,-0.0184,79.25,-0.0744,0.49,5.79,0.08,6.6879,4620.28,799.0145
