tos1a
matlab
10
200
2016-03-30 06:30:55
"P","I","D","c_fan","c_lamp","c_led","ctrltyp","in_sw","out_sw","t_sim","s_rate","input","scifun"
"0.8","2.95","0","20","50","0","NO","3","1","10","200","30","y1=u1"
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
25.25,26.94,0.0813,25.04,0.0160,0.00,0.0000,0.05,-0.0036,0.11,0.00,0.00,0.0000,0.13,-0.6542
25.19,26.94,0.0813,25.04,0.0160,0.00,0.0000,0.05,-0.0036,0.11,0.00,0.00,0.0000,0.13,-0.6542
25.19,26.97,0.2984,25.11,-0.0628,24.58,21.4822,16.00,327.5997,0.59,5.76,0.10,9.0916,256.95,5222.9355
25.25,27.04,-0.0302,25.08,-0.3729,27.60,8.1877,58.79,112.9328,0.58,5.76,0.07,7.0154,1457.07,5807.1038
25.25,27.11,0.2990,25.06,-0.3545,28.60,3.2470,72.52,44.0818,0.59,5.78,0.08,6.7516,2316.97,3941.0725
25.25,27.18,0.1258,25.05,-0.2320,29.01,1.2831,77.92,16.9218,0.58,5.78,0.06,6.7179,2955.81,2682.3766
25.25,27.25,0.2583,25.04,0.0073,29.20,0.5269,80.25,5.1641,0.58,5.78,0.05,6.7150,3532.36,2029.3395
25.25,27.30,0.0720,25.03,-0.1895,29.27,0.2676,80.90,2.1493,0.59,5.78,0.06,6.7121,3879.18,1420.9462
25.19,27.35,0.0210,25.02,-0.2792,29.30,0.4355,81.16,0.8900,0.60,5.78,0.07,6.6901,4165.92,1389.6335
25.25,27.38,0.0108,25.01,-0.4270,29.31,-0.0343,81.25,0.2843,0.59,5.78,0.06,6.6996,4386.06,1031.5244
25.19,27.42,-0.0453,25.00,-0.1593,29.32,0.1013,81.29,0.2670,0.59,5.79,0.06,6.6491,4573.68,914.2920
25.19,27.45,0.0774,24.99,-0.1560,29.33,0.0427,81.30,-0.0593,0.58,5.78,0.07,6.6930,4706.94,664.5442
25.19,27.48,0.2946,24.98,0.0814,29.34,0.0963,81.31,-0.0821,0.59,5.79,0.07,6.7084,4820.36,431.8395
25.19,27.51,0.1798,24.97,0.0980,29.35,0.0969,81.31,-0.0262,0.59,5.78,0.06,6.7106,4908.12,335.2476
25.25,27.53,0.2761,24.96,-0.0528,29.35,0.1653,81.31,0.0591,0.59,5.79,0.07,6.6952,4969.64,256.8789
25.31,27.55,-0.1302,24.95,-0.2768,29.36,0.0908,81.31,0.0799,0.58,5.79,0.06,6.7070,5020.88,224.1277
25.19,27.58,0.4291,24.94,0.3407,29.36,0.1596,81.30,0.1483,0.59,5.79,0.05,6.7121,5058.35,161.3758
25.31,27.60,0.1718,24.93,-0.0365,29.37,-0.0985,81.30,-0.1629,0.59,5.79,0.06,6.6952,5089.60,143.4475
25.25,27.62,-0.1505,24.92,-0.3898,29.38,-0.0954,81.30,-0.1792,0.59,5.78,0.05,6.7062,5113.78,85.9933
25.19,27.65,0.2295,24.91,-0.1008,29.38,0.0178,81.30,-0.1030,0.59,5.79,0.07,6.6945,5132.20,71.5154
25.31,27.67,0.3695,24.91,0.0853,29.38,-0.0068,81.30,0.0549,0.59,5.78,0.05,6.7136,5144.55,51.6380
25.31,27.68,-0.1402,24.90,-0.3441,29.39,-0.0639,81.30,-0.0403,0.59,5.79,0.06,6.6996,5154.43,45.9626
25.25,27.70,0.4381,24.89,0.4323,29.40,0.1777,81.30,0.0872,0.59,5.79,0.06,6.6960,5162.77,39.4798
25.31,27.72,-0.1211,24.89,-0.2148,29.40,-0.0258,81.29,0.0210,0.60,5.78,0.05,6.7092,5169.58,26.7031
