tos1a
openloop


2016-03-25 18:41:21
"c_fan","c_led","c_lamp","t_sim","s_rate"
20,0,50,30,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
28.81,32.83,0.0000,26.62,0.0000,0.00,0.0000,8.84,0.0000,0.00,0.00,0.00,0.0000,0.02,37.6714
28.81,32.98,-0.7961,26.74,-1.9503,24.80,2.9615,56.32,409.5237,0.48,5.78,0.08,7.6733,580.26,7072.6895
28.81,32.94,-0.1411,26.67,-1.6440,24.94,2.0341,70.78,117.6815,0.48,5.78,0.07,6.1773,1094.79,7465.3876
28.81,32.94,0.6498,26.65,0.4546,25.03,0.9415,75.01,33.1126,0.48,5.78,0.05,5.3729,1511.40,6646.2345
28.81,32.95,0.2277,26.64,0.6041,25.08,1.2782,76.20,10.0349,0.49,5.78,0.04,4.9077,1833.16,5361.4601
28.81,32.98,1.1427,26.63,0.2725,25.11,0.6714,76.52,2.1123,0.49,5.79,0.05,4.6462,2081.87,2860.7429
28.81,33.01,1.2514,26.63,1.2813,25.13,1.0965,76.62,1.0129,0.49,5.79,0.04,4.4982,2277.98,2380.5507
28.81,33.03,-0.8358,26.62,-1.9265,25.14,-0.5361,76.65,-0.2631,0.49,5.79,0.04,4.4059,2414.00,1928.2033
28.81,33.05,-0.1597,26.62,0.3490,25.14,-0.3033,76.65,0.2920,0.49,5.79,0.05,4.3487,2513.96,1855.2171
28.88,33.08,2.0101,26.62,0.7832,25.15,0.4030,76.66,-0.0119,0.49,5.79,0.05,4.2938,2601.95,970.2605
28.88,33.10,0.0095,26.61,-0.2709,25.15,-0.0971,76.66,0.2362,0.48,5.79,0.04,4.3026,2677.92,877.7918
28.88,33.13,-0.0116,26.61,1.4922,25.15,0.4691,76.66,0.6534,0.48,5.79,0.04,4.2938,2739.42,886.1944
28.88,33.15,0.5495,26.60,-0.1712,25.16,-0.1301,76.66,0.3472,0.49,5.79,0.05,4.2733,2792.15,941.8925
28.88,33.17,-0.3458,26.60,0.0557,25.16,-0.4914,76.66,-0.6947,0.48,5.79,0.03,4.2850,2836.91,1004.3097
28.88,33.19,1.0517,26.59,-0.0559,25.16,-0.2298,76.66,-0.2159,0.49,5.79,0.04,4.2791,2883.51,535.7371
28.88,33.21,0.3419,26.59,1.0189,25.17,-0.2145,76.66,0.2603,0.49,5.79,0.05,4.2645,2927.57,571.1486
28.88,33.22,0.5261,26.58,-0.2034,25.17,0.1298,76.66,-0.0787,0.48,5.79,0.05,4.2667,2965.41,618.6220
28.88,33.23,-0.8097,26.57,-0.7783,25.17,0.0496,76.66,0.2708,0.49,5.79,0.03,4.2777,2996.72,654.2235
28.81,33.23,-0.5170,26.56,-1.3548,25.17,-0.2476,76.66,-0.3562,0.49,5.79,0.03,4.2821,3026.89,350.8258
28.81,33.24,-0.3482,26.56,0.0046,25.18,-0.1681,76.66,-0.0398,0.49,5.79,0.03,4.2821,3062.63,479.2058
28.81,33.25,0.3799,26.55,0.4810,25.18,-0.0766,76.66,0.9240,0.49,5.79,0.04,4.2696,3092.74,452.3699
28.88,33.25,-1.2012,26.55,-1.8930,25.18,0.3912,76.66,-0.0158,0.48,5.79,0.03,4.2806,3118.15,496.3049
28.88,33.26,-1.1695,26.54,-1.2230,25.18,-0.3189,76.66,-0.2372,0.49,5.79,0.04,4.2711,3141.31,263.4167
28.88,33.25,0.4648,26.54,-0.1968,25.18,0.2224,76.66,0.1844,0.48,5.79,0.03,4.2791,3166.84,307.5315
28.81,33.25,0.1271,26.53,1.1048,25.18,0.3188,76.66,-0.3304,0.49,5.79,0.05,4.2667,3188.62,328.3033
28.81,33.25,-0.5872,26.53,-1.3447,25.18,-0.4546,76.66,0.1398,0.48,5.79,0.03,4.2755,3207.74,406.6968
28.81,33.24,-0.6506,26.52,-1.4919,25.18,-0.8724,76.66,-1.1500,0.48,5.79,0.04,4.2777,3226.61,216.9653
28.88,33.24,-0.4264,26.51,-0.3675,25.18,0.1706,76.66,0.1116,0.49,5.79,0.03,4.2769,3246.49,227.5469
28.88,33.24,-0.3406,26.51,0.1532,25.19,-0.4336,76.66,0.3422,0.49,5.79,0.03,4.2747,3264.85,267.7849
28.88,33.24,-1.0930,26.50,-0.8511,25.19,-0.1731,76.66,0.4796,0.48,5.79,0.04,4.3282,3280.30,264.9152
28.81,33.24,-0.1806,26.50,-0.5510,25.19,0.5126,76.66,0.1366,0.49,5.79,0.03,4.2828,3294.09,328.0843
28.81,33.24,-0.5533,26.50,0.2548,25.20,-0.0823,76.67,-0.2512,0.49,5.79,0.03,4.2755,3309.58,172.3507
28.81,33.25,-0.5972,26.48,-1.3414,25.20,0.2457,76.66,-0.0849,0.34,5.80,0.04,4.2623,3322.67,160.2878
28.88,33.24,-0.1825,26.48,-0.4022,25.20,0.0048,76.66,0.5976,0.49,5.79,0.04,4.2740,3335.58,207.8216
28.88,33.24,0.2225,26.47,0.3714,25.20,-0.0857,76.66,-0.4812,0.49,5.80,0.04,4.2733,3346.76,189.2412
28.88,33.24,-0.1032,26.46,-0.5704,25.20,-0.2401,76.66,0.1188,0.49,5.79,0.03,4.2799,3355.59,100.4025
28.81,33.24,-0.1257,26.46,-0.1084,25.20,-0.0211,76.66,0.1971,0.49,5.79,0.04,4.2740,3366.87,131.3852
28.81,33.25,0.9972,26.45,1.0171,25.20,0.2652,76.66,0.2824,0.49,5.79,0.04,4.2645,3376.49,144.6889
28.81,33.25,0.2572,26.45,0.2650,25.20,-0.1404,76.66,0.3286,0.49,5.80,0.03,4.2747,3383.89,123.4460
28.88,33.24,0.1176,26.44,0.1732,25.20,0.1651,76.66,0.5504,0.49,5.79,0.04,4.2579,3389.62,65.8406
28.88,33.23,0.0207,26.43,0.8698,25.20,0.0636,76.66,0.3316,0.49,5.79,0.03,4.2696,3401.06,144.4758
28.88,33.22,0.0233,26.43,-0.5695,25.21,-0.2690,76.66,-0.1334,0.49,5.79,0.03,4.2791,3409.21,106.1743
28.81,33.22,0.9052,26.42,-0.0781,25.21,-0.1290,76.66,0.0228,0.48,5.79,0.05,4.2337,3415.42,121.5017
28.81,33.21,0.9691,26.42,0.7113,25.21,0.5793,76.66,-0.0467,0.48,5.79,0.04,4.2637,3421.18,63.4965
28.81,33.21,-0.7698,26.42,-0.2770,25.21,-0.3576,76.66,0.2504,0.49,5.80,0.04,4.2718,3424.11,33.6467
28.88,33.20,-0.1179,26.41,-0.7848,25.21,-0.3310,76.66,0.0440,0.48,5.79,0.03,4.2740,3432.15,140.8144
28.88,33.19,-0.3722,26.41,0.4280,25.21,0.6720,76.66,1.1711,0.48,5.79,0.04,4.2718,3438.85,81.7891
28.88,33.19,-1.1611,26.40,-1.6901,25.21,-0.5349,76.65,-0.6203,0.49,5.79,0.03,4.2777,3442.85,99.5552
28.81,33.19,-0.1612,26.40,-0.5097,25.22,-0.4962,76.66,0.0659,0.49,5.79,0.04,4.2725,3447.38,53.9192
28.81,33.19,-0.6044,26.40,-0.6766,25.22,0.0736,76.66,0.4119,0.48,5.79,0.03,4.2740,3449.45,20.9391
28.81,33.19,-0.5661,26.39,-0.2466,25.22,0.2198,76.66,0.2594,0.49,5.80,0.05,4.2601,3454.12,136.5628
28.81,33.20,-0.9371,26.39,-1.0633,25.22,0.0678,76.66,0.5461,0.49,5.79,0.04,4.2681,3460.33,63.1094
28.81,33.20,-1.8643,26.39,-1.3674,25.22,-0.7679,76.66,-0.3866,0.48,5.79,0.03,4.2799,3463.22,34.0205
28.81,33.20,0.6540,26.38,1.5990,25.22,0.5798,76.66,0.6341,0.49,5.79,0.03,4.2762,3466.26,40.4311
28.81,33.20,0.7678,26.38,1.4335,25.22,0.4573,76.66,0.6505,0.49,5.79,0.03,4.2769,3467.44,1.3495
28.81,33.19,0.8037,26.37,1.7529,25.22,0.6094,76.66,0.2595,0.49,5.79,0.04,4.2667,3468.79,132.6283
28.81,33.20,1.1432,26.37,0.2532,25.22,0.0771,76.66,0.1689,0.48,5.79,0.04,4.2740,3474.98,70.3972
28.81,33.20,0.7044,26.38,-0.4009,25.22,-0.4693,76.66,0.4326,0.48,5.79,0.05,4.2601,3477.38,26.1619
28.81,33.20,0.1138,26.38,0.9399,25.23,0.2019,76.66,0.3614,0.49,5.79,0.03,4.2711,3479.42,34.7563
28.81,33.19,-1.1953,26.37,-0.7038,25.23,-0.3275,76.66,0.4383,0.49,5.79,0.03,4.2799,3480.39,-23.2979
28.81,33.18,-1.5028,26.36,-0.6674,25.23,-0.0444,76.66,-0.4186,0.48,5.79,0.03,4.2747,3479.30,-12.3601
28.81,33.18,-1.0334,26.35,-0.6309,25.23,-0.1897,76.65,-0.3787,0.49,5.79,0.03,4.2777,3485.93,76.1705
28.81,33.17,0.8926,26.35,1.6079,25.23,0.2798,76.66,0.2543,0.47,5.79,0.03,4.2784,3488.00,14.0275
28.81,33.17,0.5091,26.34,-0.3354,25.23,-0.0796,76.65,-0.3860,0.47,5.79,0.05,4.2711,3489.32,29.1826
28.81,33.17,-0.4423,26.33,-1.6220,25.23,-0.5047,76.65,-0.3150,0.48,5.79,0.04,4.2689,3490.31,-30.6233
28.81,33.17,0.7259,26.33,0.7336,25.23,0.1572,76.65,0.2708,0.48,5.79,0.03,4.2821,3488.87,-16.1675
28.88,33.17,0.6972,26.33,0.7423,25.23,0.5403,76.65,0.0622,0.48,5.79,0.03,4.2813,3493.33,65.1086
28.88,33.18,-0.3337,26.32,0.7756,25.23,-0.2179,76.65,0.0170,0.49,5.79,0.04,4.2696,3495.79,20.9782
28.88,33.17,-0.5851,26.32,-0.5535,25.23,-0.3195,76.65,0.1817,0.48,5.80,0.05,4.2579,3496.81,12.8909
28.81,33.17,-1.0608,26.31,0.6064,25.23,0.3971,76.65,0.4417,0.49,5.79,0.04,4.2388,3497.42,6.7319
28.81,33.17,-0.1034,26.32,0.3199,25.23,-0.2809,76.65,0.2190,0.48,5.79,0.03,4.2762,3495.15,-26.0728
28.81,33.16,-0.6402,26.31,0.0818,25.23,0.1456,76.65,0.8687,0.48,5.79,0.04,4.2711,3498.88,70.3856
28.88,33.16,0.5243,26.31,1.0201,25.23,-0.5308,76.65,0.3833,0.49,5.79,0.03,4.2777,3501.41,13.7064
28.88,33.16,1.9534,26.30,1.1533,25.23,0.6275,76.65,-0.2043,0.49,5.79,0.04,4.2733,3502.09,7.8032
28.88,33.16,-0.2010,26.30,-0.8929,25.23,-0.1727,76.65,-0.4961,0.48,5.79,0.03,4.2791,3502.44,4.2285
28.81,33.16,-1.2128,26.30,-1.0445,25.24,0.1688,76.65,0.2712,0.48,5.79,0.04,4.2711,3500.19,-31.4239
28.81,33.16,-0.1007,26.30,-0.2979,25.24,-0.3655,76.65,-0.8105,0.49,5.79,0.04,4.2667,3502.67,70.4314
28.81,33.16,-0.4409,26.30,-0.0156,25.24,0.2067,76.65,0.6418,0.48,5.79,0.05,4.2542,3505.27,4.8336
28.81,33.16,0.7574,26.29,-0.0002,25.24,-0.3318,76.65,-0.7191,0.49,5.79,0.03,4.2806,3505.52,5.3789
28.81,33.16,0.1205,26.28,-0.9466,25.24,-0.2399,76.65,-0.0871,0.48,5.79,0.03,4.2777,3505.77,2.7966
28.81,33.16,0.0975,26.28,-0.0025,25.24,-0.2489,76.65,0.1190,0.48,5.79,0.03,4.2813,3503.42,-33.2290
28.88,33.17,-0.8175,26.28,-1.2757,25.24,0.1867,76.65,0.2712,0.49,5.79,0.03,4.2725,3505.82,67.5508
28.88,33.16,-0.5375,26.27,0.4434,25.24,0.0431,76.65,-0.0766,0.48,5.80,0.04,4.2652,3507.88,-11.0449
28.88,33.17,-0.0597,26.27,-0.7211,25.25,0.1059,76.65,0.1240,0.48,5.79,0.04,4.3004,3507.45,13.7449
28.81,33.17,-0.6816,26.27,-0.4916,25.25,-0.5028,76.65,0.5041,0.48,5.79,0.04,4.2667,3508.09,7.2547
28.81,33.16,0.6824,26.26,-0.6254,25.24,-0.0696,76.65,-0.5798,0.48,5.79,0.03,4.2769,3505.75,-38.5518
28.81,33.16,-1.3977,26.26,-1.1379,25.24,-0.1640,76.65,-0.0302,0.48,5.79,0.03,4.2784,3507.44,69.9521
28.88,33.16,-0.1302,26.26,1.2703,25.24,-0.1774,76.65,-0.0455,0.49,5.79,0.04,4.2630,3510.16,2.9851
28.88,33.16,-1.0201,26.25,-0.4804,25.25,0.4752,76.65,0.6550,0.48,5.79,0.04,4.2645,3510.30,1.5679
28.88,33.16,0.6411,26.24,0.7679,25.24,-0.1299,76.65,-1.7186,0.49,5.80,0.05,4.2930,3510.44,1.5200
28.81,33.16,0.8997,26.24,0.2755,25.25,0.3642,76.65,-0.3607,0.48,5.79,0.03,4.2784,3508.25,-35.9571
28.81,33.16,-0.7521,26.24,-1.4408,25.25,-0.4983,76.64,-0.0459,0.48,5.79,0.04,4.2740,3509.40,62.0287
28.81,33.17,1.3824,26.25,1.6343,25.25,0.5187,76.65,0.3434,0.48,5.79,0.03,4.2769,3511.60,-10.1946
28.81,33.15,-1.2951,26.24,-1.8592,25.25,-0.7573,76.65,-0.6881,0.48,5.79,0.04,4.2821,3511.19,3.9701
28.81,33.15,0.2102,26.24,0.6519,25.25,-0.5598,76.64,0.0199,0.48,5.79,0.04,4.2630,3511.37,2.1734
28.81,33.14,-0.8481,26.23,0.0092,25.25,-0.0105,76.64,0.7014,0.48,5.79,0.03,4.2777,3508.70,-41.4056
28.81,33.13,-0.2458,26.23,0.9981,25.25,-0.1869,76.65,0.2224,0.49,5.79,0.04,4.2593,3510.41,70.6497
28.81,33.12,-0.4454,26.23,0.4168,25.25,-0.1787,76.65,0.4757,0.48,5.79,0.05,4.2630,3512.96,-5.1600
28.81,33.12,-0.3706,26.22,-0.3756,25.25,0.3331,76.64,0.1333,0.48,5.79,0.03,4.2835,3512.72,-2.7662
28.81,33.11,-1.2057,26.22,-1.2597,25.25,0.1251,76.64,0.2304,0.49,5.80,0.04,4.3026,3512.22,-5.1192
28.81,33.12,-0.2895,26.21,0.6641,25.25,0.1058,76.64,-0.2429,0.48,5.79,0.05,4.2571,3510.02,-32.5302
28.81,33.11,1.3523,26.21,0.9084,25.25,-0.3744,76.64,-0.4220,0.48,5.80,0.03,4.2806,3511.48,60.2267
28.81,33.11,0.2763,26.20,-0.0207,25.25,-0.2774,76.64,-0.4787,0.47,5.80,0.04,4.3040,3513.73,-2.9250
28.81,33.11,-0.3255,26.20,0.7710,25.25,0.2455,76.64,-0.6087,0.48,5.79,0.04,4.2711,3513.64,10.2718
28.81,33.11,-0.8656,26.20,-0.0346,25.26,-0.1266,76.64,-0.0955,0.49,5.80,0.03,4.2769,3514.12,5.4220
28.81,33.11,-1.2543,26.19,-0.4230,25.25,-0.4897,76.64,-0.4566,0.48,5.80,0.03,4.2747,3511.25,-45.3093
28.81,33.12,0.0260,26.19,-1.3864,25.26,-0.9338,76.64,-0.9881,0.49,5.79,0.04,4.2667,3512.47,69.9416
28.81,33.13,-0.4914,26.19,-0.2589,25.26,-0.0012,76.64,-0.0180,0.48,5.79,0.03,4.2799,3515.26,0.4961
28.88,33.13,1.7790,26.19,1.1830,25.26,0.9726,76.64,0.0732,0.48,5.79,0.05,4.2711,3515.28,0.2661
28.88,33.13,-1.1321,26.19,-2.1016,25.26,-0.5201,76.64,-0.2917,0.48,5.80,0.04,4.3033,3515.37,1.1426
28.88,33.14,-0.1066,26.18,0.2762,25.26,0.4131,76.64,0.4420,0.48,5.79,0.05,4.2630,3512.96,-53.3661
28.81,33.14,0.7363,26.18,1.3592,25.27,0.3580,76.64,0.3754,0.49,5.80,0.05,4.2571,3512.86,75.2165
28.81,33.14,-1.1963,26.18,-1.1529,25.26,-0.4624,76.64,-0.3542,0.48,5.79,0.04,4.2637,3516.22,-7.4516
28.81,33.14,0.9979,26.18,-0.1985,25.26,0.1415,76.64,-0.1318,0.48,5.79,0.03,4.2711,3515.88,-3.9743
28.81,33.15,-0.1114,26.18,-0.8161,25.26,-0.4035,76.64,0.0184,0.47,5.79,0.03,4.2784,3515.72,-1.5645
28.81,33.16,-0.4673,26.17,-0.1152,25.26,-0.3324,76.64,0.9058,0.48,5.79,0.03,4.2740,3513.99,-44.1680
28.81,33.17,0.4969,26.17,-0.0708,25.26,-0.0398,76.64,-0.1179,0.48,5.79,0.03,4.2740,3513.35,62.4939
28.81,33.18,0.0470,26.17,-0.1734,25.26,-0.2492,76.64,0.3931,0.48,5.78,0.04,4.2718,3516.23,33.5033
28.81,33.19,0.3884,26.17,1.1290,25.26,0.0028,76.64,0.3727,0.48,5.80,0.05,4.2579,3516.45,1.1631
28.81,33.19,0.3633,26.17,1.4006,25.27,0.8419,76.64,0.6555,0.48,5.79,0.04,4.2645,3516.46,-0.2420
28.88,33.19,0.9901,26.17,0.6703,25.27,0.4538,76.64,0.1356,0.47,5.79,0.03,4.2740,3514.98,-53.7122
28.88,33.18,0.0986,26.17,0.4019,25.27,-0.2635,76.64,0.3022,0.48,5.79,0.03,4.2769,3513.21,91.8465
28.88,33.19,0.5496,26.17,0.0779,25.26,0.3955,76.64,-0.1415,0.48,5.79,0.03,4.2725,3517.55,48.2022
28.81,33.19,-0.8054,26.17,-0.8609,25.27,0.4265,76.63,0.2109,0.48,5.80,0.03,4.2769,3517.16,-11.2575
28.81,33.20,-0.8461,26.16,0.1087,25.27,-0.0844,76.64,-0.1328,0.48,5.79,0.04,4.2630,3515.38,-50.2997
28.88,33.19,0.1163,26.16,-0.3472,25.27,-0.3486,76.64,0.2084,0.49,5.79,0.03,4.2755,3514.13,72.1100
28.88,33.19,1.3284,26.16,1.1531,25.27,0.3143,76.64,-0.1316,0.48,5.79,0.04,4.2879,3517.46,38.6535
28.88,33.18,0.6790,26.15,0.6643,25.27,0.3283,76.64,0.5601,0.48,5.79,0.03,4.2777,3517.55,-3.3103
28.81,33.18,2.1781,26.14,1.4667,25.27,0.7530,76.64,0.1924,0.48,5.79,0.04,4.2755,3517.63,4.0862
28.81,33.18,0.0883,26.15,0.1515,25.27,0.0166,76.63,-0.3285,0.48,5.79,0.04,4.2645,3516.46,-73.8416
28.81,33.19,0.8993,26.15,0.4869,25.27,-0.1601,76.63,0.3624,0.48,5.80,0.04,4.2681,3512.99,-38.9867
28.81,33.19,-0.3580,26.14,-0.6800,25.27,0.6379,76.63,0.5314,0.48,5.79,0.03,4.2762,3517.44,54.9955
28.81,33.20,0.1781,26.15,-0.5560,25.27,-0.4006,76.63,-0.2862,0.49,5.79,0.03,4.2762,3518.19,-3.2870
28.81,33.20,-0.3003,26.14,-1.2703,25.27,0.0492,76.63,-0.0410,0.48,5.79,0.03,4.2740,3517.89,-6.2997
28.81,33.21,-0.3718,26.14,-0.6440,25.27,0.1939,76.63,-0.4641,0.49,5.80,0.03,4.2784,3516.81,-75.5924
28.81,33.21,0.7270,26.14,1.3531,25.28,0.2695,76.64,0.1794,0.49,5.80,0.03,4.2747,3513.26,-39.9087
