tos1a
openloop
20
50
2016-03-30 06:27:46
"c_fan","c_led","c_lamp","t_sim","s_rate"
30,50,0,20,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
24.94,25.32,0.0000,24.92,0.0000,0.00,0.0000,0.05,0.0000,0.12,0.00,0.00,0.0000,0.00,2.2749
24.94,25.29,0.1256,25.03,-1.1121,0.00,0.0000,0.03,0.1123,0.12,0.00,0.09,8.0396,584.94,7074.6422
24.94,25.31,-0.3207,24.96,0.2485,0.00,0.0000,0.05,-0.1740,0.12,0.00,0.07,6.6872,1154.41,6998.8722
24.94,25.31,-0.0737,24.94,-1.2116,0.00,0.0000,0.06,0.5211,0.11,0.00,0.07,6.0396,1572.40,6457.5721
24.94,25.31,-0.5565,24.94,-0.3926,0.00,0.0000,0.06,-0.3728,0.11,0.00,0.05,5.6842,1896.75,5650.9239
24.94,25.30,-1.2640,24.93,-1.3330,0.00,0.0000,0.06,-0.1796,0.11,0.00,0.06,5.4784,2154.12,3065.3267
24.94,25.30,0.6983,24.93,1.4172,0.00,0.0000,0.06,-0.2106,0.12,0.00,0.05,5.3568,2362.73,2756.6055
24.94,25.29,0.3884,24.92,0.6453,0.00,0.0000,0.06,-0.2145,0.12,0.00,0.04,5.2725,2522.94,2711.2556
24.88,25.29,0.2741,24.92,0.0362,0.00,0.0000,0.06,-0.0163,0.11,0.00,0.05,5.2454,2657.06,2511.7868
24.88,25.28,-0.3609,24.92,-1.0232,0.00,0.0000,0.06,0.3173,0.12,0.00,0.05,5.2161,2778.25,1293.3054
24.88,25.28,0.2533,24.92,0.7631,0.00,0.0000,0.06,-0.2540,0.12,0.00,0.04,5.2022,2880.36,1301.0245
24.94,25.27,-0.1469,24.92,0.8793,0.00,0.0000,0.06,-0.4679,0.11,0.00,0.05,5.1941,2973.08,1446.2646
24.94,25.26,-0.0872,24.92,0.6210,0.00,0.0000,0.06,-0.0078,0.13,0.00,0.05,5.1861,3047.05,1490.8025
24.94,25.25,0.0930,24.91,-1.2319,0.00,0.0000,0.06,0.5942,0.12,0.00,0.05,5.1802,3115.35,804.4050
24.94,25.25,-0.0619,24.91,1.0699,0.00,0.0000,0.06,-0.3211,0.12,0.00,0.04,5.1839,3184.16,908.9760
24.94,25.24,0.1419,24.91,0.0983,0.00,0.0000,0.06,-0.0406,0.11,0.00,0.05,5.1729,3247.17,966.3838
24.94,25.23,0.0397,24.90,-0.7474,0.00,0.0000,0.06,0.3472,0.12,0.00,0.04,5.1810,3302.05,1053.6479
24.94,25.23,0.1198,24.90,1.2302,0.00,0.0000,0.06,-0.3431,0.12,0.00,0.05,5.2168,3350.89,562.9421
24.94,25.22,0.0757,24.90,0.2610,0.00,0.0000,0.06,0.0710,0.12,0.00,0.04,5.1802,3402.35,643.7180
24.94,25.21,-0.7845,24.90,0.0459,0.00,0.0000,0.06,-0.3431,0.12,0.00,0.04,5.1817,3447.32,638.9194
24.88,25.20,0.5344,24.90,0.7472,0.00,0.0000,0.06,0.0943,0.11,0.00,0.04,5.1839,3487.10,795.6640
24.88,25.19,0.1768,24.89,0.9298,0.00,0.0000,0.06,-0.1607,0.12,0.00,0.04,5.1795,3523.99,425.1355
24.88,25.19,-0.5409,24.89,-0.7150,0.00,0.0000,0.06,0.3399,0.12,0.00,0.05,5.1729,3563.44,472.5142
24.94,25.18,-0.0339,24.89,0.5928,0.00,0.0000,0.05,-0.1072,0.11,0.00,0.06,5.1590,3596.09,535.6309
24.94,25.17,-0.3434,24.89,0.3313,0.00,0.0000,0.06,0.1384,0.12,0.00,0.04,5.1802,3627.09,586.6641
24.94,25.16,-0.1648,24.88,-0.0851,0.00,0.0000,0.06,0.0183,0.11,0.00,0.06,5.1648,3654.13,314.8501
24.88,25.16,-0.4502,24.88,-0.8404,0.00,0.0000,0.06,-0.1601,0.11,0.00,0.04,5.1853,3684.20,328.7401
24.88,25.15,-0.4175,24.89,-1.6087,0.00,0.0000,0.06,0.5211,0.11,0.00,0.05,5.1692,3711.85,349.5173
24.88,25.14,-0.5552,24.88,-0.7064,0.00,0.0000,0.06,-0.0894,0.12,0.00,0.06,5.1590,3740.38,393.3430
24.94,25.13,-0.2880,24.88,-1.1989,0.00,0.0000,0.06,0.3060,0.11,0.00,0.04,5.1780,3762.40,354.2730
24.94,25.13,-0.2987,24.88,0.0747,0.00,0.0000,0.06,-0.1779,0.12,0.00,0.04,5.1795,3779.79,400.7186
24.94,25.12,-0.3539,24.87,0.2177,0.00,0.0000,0.06,-0.0570,0.12,0.00,0.04,5.1363,3798.66,211.0612
24.88,25.11,-0.5918,24.87,-1.7771,0.00,0.0000,0.06,-0.0883,0.12,0.00,0.04,5.1853,3814.11,199.7721
24.88,25.10,-0.1752,24.87,-1.1111,0.00,0.0000,0.06,0.0834,0.11,0.00,0.05,5.1788,3832.00,327.6914
24.88,25.09,-0.6123,24.86,-1.1464,0.00,0.0000,0.06,0.2237,0.12,0.00,0.05,5.1179,3849.11,260.4639
24.94,25.09,0.7626,24.86,0.9599,0.00,0.0000,0.06,-0.1560,0.11,0.00,0.04,5.1780,3861.44,136.4728
24.94,25.08,-0.2268,24.86,-0.0409,0.00,0.0000,0.06,0.1643,0.12,0.00,0.04,5.1839,3874.80,152.2021
24.94,25.07,-0.1274,24.86,-0.2152,0.00,0.0000,0.06,0.4541,0.13,0.00,0.04,5.1853,3884.75,125.6918
24.94,25.06,-0.0374,24.85,0.3837,0.00,0.0000,0.06,-0.4079,0.12,0.00,0.04,5.1795,3897.82,245.5713
24.94,25.06,0.2005,24.85,-0.3038,0.00,0.0000,0.06,0.3229,0.12,0.00,0.05,5.1766,3909.92,164.6827
24.94,25.06,0.3793,24.85,1.0511,0.00,0.0000,0.06,-0.2402,0.12,0.00,0.05,5.1692,3917.31,90.4744
24.94,25.04,0.0169,24.84,-0.2608,0.00,0.0000,0.06,0.4744,0.12,0.00,0.06,5.1663,3926.29,112.6743
24.94,25.04,0.6618,24.85,1.4965,0.00,0.0000,0.06,0.0470,0.12,0.00,0.05,5.1729,3934.26,128.4342
24.94,25.03,-0.0414,24.85,0.0786,0.00,0.0000,0.06,0.1075,0.11,0.00,0.04,5.1824,3941.49,119.9659
24.94,25.02,0.4436,24.83,0.2873,0.00,0.0000,0.06,0.5641,0.12,0.00,0.05,5.1751,3947.05,64.0672
24.94,25.02,-0.4182,24.84,-0.4290,0.00,0.0000,0.06,0.3971,0.12,0.00,0.05,5.1656,3954.69,83.6332
24.94,25.02,-0.0260,24.84,0.2608,0.00,0.0000,0.06,-0.5126,0.12,0.00,0.05,5.1736,3960.98,82.6859
24.88,25.01,-0.6299,24.83,-0.7607,0.00,0.0000,0.06,-0.1577,0.13,0.00,0.04,5.1810,3966.95,109.2102
24.88,25.00,-0.8471,24.83,-1.4858,0.00,0.0000,0.06,0.4450,0.12,0.00,0.04,5.1795,3972.38,75.9051
24.88,24.99,-0.2146,24.83,-1.6429,0.00,0.0000,0.06,0.4842,0.12,0.00,0.04,5.2154,3976.01,39.3948
24.88,24.99,0.2527,24.83,0.0514,0.00,0.0000,0.06,-0.2820,0.12,0.00,0.04,5.1824,3981.53,67.0444
24.88,24.98,-0.6866,24.83,0.3418,0.00,0.0000,0.06,-0.2856,0.11,0.00,0.04,5.1795,3985.43,50.6426
24.88,24.97,-0.0588,24.82,0.2691,0.00,0.0000,0.06,-0.0499,0.12,0.00,0.05,5.1678,3989.12,77.6720
24.94,24.97,-0.2170,24.82,-0.4171,0.00,0.0000,0.06,0.3173,0.12,0.00,0.06,5.1604,3992.86,61.9733
24.94,24.96,0.2913,24.82,0.1050,0.00,0.0000,0.06,0.0490,0.12,0.00,0.05,5.1656,3996.00,30.4102
24.94,24.96,-0.8317,24.81,-1.4058,0.00,0.0000,0.06,0.0337,0.13,0.00,0.05,5.1795,3999.85,47.4043
24.88,24.95,0.7159,24.82,1.0187,0.00,0.0000,0.06,0.1491,0.11,0.00,0.04,5.1788,4002.75,37.2811
24.88,24.94,0.3159,24.81,-0.0331,0.00,0.0000,0.06,0.2526,0.12,0.00,0.04,5.1758,4005.41,58.5334
24.88,24.94,-1.0155,24.80,-0.7865,0.00,0.0000,0.06,-0.2091,0.12,0.00,0.04,5.1832,4008.15,31.4506
24.94,24.93,0.4526,24.80,-0.0194,0.00,0.0000,0.06,-0.0541,0.12,0.00,0.06,5.1597,4009.64,16.4753
24.94,24.92,0.0688,24.80,0.1319,0.00,0.0000,0.06,0.1641,0.12,0.00,0.04,5.1780,4012.59,42.2715
24.94,24.92,-0.2427,24.80,-0.6245,0.00,0.0000,0.06,0.5453,0.12,0.00,0.05,5.1758,4014.53,21.7503
24.88,24.92,0.0917,24.80,0.7264,0.00,0.0000,0.06,-0.1651,0.12,0.00,0.04,5.1744,4016.49,55.7199
24.88,24.91,-0.0356,24.79,0.1320,0.00,0.0000,0.06,-0.1679,0.11,0.00,0.04,5.1846,4019.08,29.7518
24.88,24.90,-0.1158,24.79,-0.3685,0.00,0.0000,0.06,-0.2811,0.11,0.00,0.04,5.1788,4019.51,4.2454
24.94,24.90,0.3784,24.79,1.3821,0.00,0.0000,0.06,-0.3778,0.12,0.00,0.04,5.1832,4021.62,37.7406
24.94,24.89,0.6963,24.79,1.0093,0.00,0.0000,0.06,-0.1848,0.11,0.00,0.04,5.1788,4023.12,10.8324
24.94,24.89,-0.2723,24.79,-0.4327,0.00,0.0000,0.06,-0.1419,0.11,0.00,0.04,5.1795,4023.84,46.0406
24.94,24.88,0.1753,24.78,0.3584,0.00,0.0000,0.06,-0.5255,0.12,0.00,0.04,5.1817,4025.99,24.3766
24.94,24.88,-0.3380,24.78,-0.5040,0.00,0.0000,0.06,0.4109,0.12,0.00,0.04,5.1832,4026.67,5.7298
24.94,24.87,-0.8442,24.78,-1.3451,0.00,0.0000,0.06,-0.0105,0.12,0.00,0.05,5.1773,4027.54,20.1810
24.94,24.87,-0.0990,24.78,-0.3552,0.00,0.0000,0.06,0.1034,0.12,0.00,0.05,5.1648,4028.36,1.0726
24.94,24.86,-0.1453,24.77,1.0383,0.00,0.0000,0.06,-0.5879,0.11,0.00,0.05,5.1729,4028.41,0.5625
24.94,24.86,0.5677,24.77,0.1829,0.00,0.0000,0.06,0.2875,0.12,0.00,0.04,5.1817,4029.94,19.8073
24.94,24.85,-0.3648,24.77,0.3393,0.00,0.0000,0.06,0.0458,0.12,0.00,0.05,5.1070,4030.90,9.2280
24.94,24.85,0.2921,24.77,1.1662,0.00,0.0000,0.06,-0.4376,0.12,0.00,0.04,5.1824,4032.63,14.6002
24.94,24.84,-0.6238,24.77,-1.1711,0.00,0.0000,0.06,0.6057,0.12,0.00,0.04,5.1839,4032.88,1.1749
24.94,24.84,-0.0960,24.76,0.3778,0.00,0.0000,0.06,-0.2620,0.11,0.00,0.04,5.1788,4033.82,24.9746
24.94,24.83,0.8440,24.76,1.4437,0.00,0.0000,0.06,-0.2817,0.12,0.00,0.04,5.1810,4034.72,-6.4390
24.88,24.83,-0.9294,24.76,-1.1664,0.00,0.0000,0.06,0.2979,0.11,0.00,0.05,5.1560,4034.43,-3.4717
24.88,24.82,-1.3404,24.76,-1.2720,0.00,0.0000,0.06,0.0132,0.11,0.00,0.05,5.1626,4036.01,21.7847
24.88,24.82,-0.3648,24.75,0.4775,0.00,0.0000,0.06,-0.0739,0.12,0.00,0.05,5.1656,4036.38,-3.2145
24.94,24.81,-0.9009,24.75,-1.0068,0.00,0.0000,0.06,0.0377,0.12,0.00,0.04,5.1861,4036.60,18.8938
24.94,24.81,0.0253,24.75,-0.1978,0.00,0.0000,0.06,0.0540,0.11,0.00,0.04,5.1817,4037.49,9.9509
