tos1a
openloop
10
200
2016-03-30 06:30:37
"c_fan","c_lamp","c_led","t_sim","s_rate"
"20","60","0","10","200"
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
25.12,25.08,0.0000,24.82,0.0000,0.00,0.0000,0.07,0.0000,0.11,0.00,0.00,0.0000,0.01,12.2547
25.12,25.30,1.5562,24.85,0.5232,31.70,1.0968,80.71,18.6695,0.67,6.95,0.05,5.0667,1733.62,4481.0105
25.12,25.43,1.3503,24.85,0.6813,31.78,0.2459,81.63,-0.0049,0.67,6.95,0.04,4.4015,2438.65,1804.3676
25.19,25.56,1.2411,24.84,-0.3396,31.80,0.2097,81.64,-0.1823,0.66,6.95,0.05,4.2842,2718.39,995.1357
25.12,25.68,-0.3952,24.84,-0.5375,31.82,-0.0500,81.64,0.1094,0.66,6.95,0.04,4.2828,2873.36,471.4200
25.12,25.80,1.2466,24.84,1.0238,31.83,0.4483,81.64,-0.1761,0.68,6.96,0.04,4.2806,3000.10,401.7967
25.12,25.91,1.4300,24.82,-0.5965,31.84,0.0303,81.64,-0.6167,0.66,6.96,0.04,4.2681,3092.46,488.1685
25.12,26.02,-0.4852,24.83,0.0288,31.86,-0.0374,81.64,0.5473,0.66,6.95,0.03,4.2733,3167.52,399.1784
25.12,26.12,1.3161,24.82,0.4310,31.87,0.1655,81.63,-0.1433,0.66,6.95,0.05,4.2601,3227.70,186.1200
25.12,26.21,-0.7735,24.82,-0.8387,31.87,-0.4060,81.64,0.0116,0.66,6.96,0.03,4.2784,3273.07,182.3320
25.12,26.30,1.3884,24.80,-8.3115,31.88,0.2664,81.63,0.2501,0.66,6.96,0.04,4.2733,3307.17,225.3717
25.12,26.39,1.8946,24.80,1.2024,31.89,-0.1143,81.63,0.2347,0.65,6.96,0.04,4.2762,3338.44,97.0812
25.12,26.48,0.7783,24.81,-0.9823,31.91,0.3921,81.64,-0.5876,0.66,6.96,0.03,4.2806,3360.53,73.4904
25.12,26.57,0.6873,24.81,0.4332,31.91,0.3476,81.63,-0.0657,0.66,6.96,0.03,4.2740,3378.10,29.7839
25.19,26.64,0.6597,24.80,-1.7927,31.92,-0.1681,81.63,-0.1156,0.65,6.95,0.04,4.2740,3394.60,81.4571
25.12,26.72,0.7147,24.80,0.4609,31.92,0.4513,81.63,-0.1507,0.66,6.96,0.04,4.2696,3404.99,94.5993
25.12,26.79,0.3963,24.80,0.3666,31.93,-0.1620,81.63,0.6713,0.67,6.96,0.05,4.2630,3413.32,-23.1991
25.12,26.86,-0.0344,24.79,-1.1269,31.94,-0.3696,81.63,-0.6113,0.65,6.95,0.04,4.2718,3421.68,46.9146
25.12,26.94,0.0539,24.80,-1.1414,31.94,0.0181,81.63,-0.3781,0.66,6.96,0.03,4.2747,3427.20,65.2608
25.12,27.01,-0.2058,24.79,-0.5089,31.96,0.0054,81.63,-0.1168,0.66,6.96,0.05,4.2586,3429.50,-34.5861
25.12,27.07,1.5690,24.79,1.1625,31.96,0.2491,81.62,0.1539,0.66,6.96,0.03,4.2784,3435.14,12.5323
25.12,27.13,1.1581,24.78,-0.4367,31.97,0.0514,81.62,-0.5106,0.65,6.95,0.04,4.2733,3438.20,48.1291
25.12,27.19,-0.0683,24.77,-0.8412,31.97,-0.4371,81.62,-0.9172,0.66,6.96,0.03,4.2791,3437.38,-37.0336
25.19,27.26,-0.2115,24.78,0.1304,31.98,-0.1806,81.62,0.1246,0.65,6.96,0.03,4.2777,3441.54,4.4714
25.19,27.32,0.1580,24.77,0.3088,31.99,-0.3046,81.62,0.1645,0.66,6.96,0.04,4.2674,3442.86,56.9213
25.12,27.37,0.1599,24.77,0.1564,32.00,0.4423,81.62,0.4852,0.65,6.96,0.04,4.2711,3441.64,-52.8353
25.12,27.43,0.7607,24.76,-0.2697,32.00,-0.1518,81.62,-0.5027,0.66,6.96,0.04,4.2740,3445.08,3.2424
25.12,27.50,0.4400,24.76,0.5928,32.01,0.1157,81.62,-0.2440,0.66,6.96,0.04,4.2711,3446.31,-7.5132
25.12,27.55,0.2446,24.75,-1.4132,32.01,-0.1831,81.61,-0.7489,0.66,6.96,0.03,4.2784,3442.52,-44.2112
25.12,27.60,0.4532,24.75,1.2221,32.02,0.1668,81.62,1.6849,0.66,6.96,0.04,4.2733,3446.55,-1.0695
25.12,27.65,0.4742,24.75,0.9765,32.03,0.0253,81.62,0.0292,0.66,6.96,0.03,4.2733,3447.85,44.2263
25.12,27.70,-0.4523,24.74,-1.3519,32.03,-0.2170,81.61,0.0723,0.65,6.96,0.04,4.2667,3443.93,-40.4285
25.12,27.75,-0.7189,24.74,-1.7320,32.04,-0.2672,81.61,-0.6091,0.66,6.96,0.03,4.2762,3447.66,-0.9872
25.12,27.79,1.4933,24.74,1.0779,32.05,0.7301,81.61,0.3355,0.65,6.96,0.04,4.3253,3448.88,-6.5450
25.12,27.84,1.3962,24.73,1.0761,32.05,0.3969,81.61,0.5626,0.66,6.96,0.03,4.2747,3444.69,85.2214
25.19,27.88,-0.6534,24.73,-0.2114,32.05,-0.1099,81.61,0.2196,0.65,6.96,0.05,4.2549,3448.64,-1.1750
25.12,27.92,1.1172,24.72,0.9604,32.06,0.3645,81.60,0.3140,0.65,6.96,0.04,4.2718,3449.69,-5.0261
25.12,27.96,-0.9144,24.72,-0.1614,32.06,-0.1182,81.60,0.0565,0.65,6.96,0.04,4.2740,3445.45,-34.7801
25.19,27.99,1.0251,24.72,0.5410,32.07,0.1799,81.60,0.3949,0.65,6.96,0.05,4.2564,3449.75,-3.0909
25.12,28.04,1.0384,24.71,0.8999,32.07,0.0901,81.60,0.7681,0.65,6.96,0.03,4.2747,3450.81,-15.4008
25.12,28.08,-0.5709,24.71,-1.1223,32.08,0.1876,81.60,0.3025,0.66,6.95,0.04,4.2725,3446.63,-38.2856
