tos1a
openloop
10
50
2016-03-25 10:40:22
"c_fan","c_led","c_lamp","t_sim","s_rate"
60,0,50,10,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
25.81,27.17,0.0000,25.82,0.0000,0.00,0.0000,2.17,0.0000,0.12,0.00,0.00,0.0000,0.00,0.1871
25.81,27.18,2.1013,25.79,0.8882,24.11,2.3330,55.69,459.1704,0.62,5.77,0.10,9.3004,583.51,7079.6568
25.81,27.26,-0.4735,25.80,-0.9305,24.23,1.2869,72.18,126.9669,0.60,5.77,0.10,8.5985,1133.85,7396.7820
25.81,27.30,-0.7885,25.81,-0.6612,24.31,0.6084,76.70,35.3903,0.62,5.78,0.08,8.2711,1584.09,7494.4879
25.81,27.33,1.6738,25.81,0.6246,24.34,1.0263,77.98,9.8821,0.61,5.78,0.09,8.0916,1955.49,7660.6006
25.81,27.35,0.7644,25.80,-10.2131,24.36,-0.2224,78.34,2.1035,0.62,5.78,0.08,7.9927,2319.00,4006.6947
25.81,27.37,0.9773,25.79,1.3628,24.37,0.4404,78.44,1.0703,0.61,5.78,0.09,7.9370,2637.87,4044.0338
25.81,27.40,1.2764,25.79,0.9878,24.38,0.4743,78.47,0.5619,0.60,5.78,0.09,7.9011,2912.04,4251.4274
25.81,27.41,-0.6821,25.78,-1.6428,24.39,-0.6110,78.47,-0.4659,0.60,5.78,0.07,7.8952,3146.96,4427.5662
25.88,27.43,1.2467,25.77,1.1150,24.40,0.0685,78.48,0.5217,0.61,5.78,0.07,7.8960,3352.89,2358.5518
25.88,27.45,0.5322,25.76,0.0985,24.40,0.0364,78.48,0.6365,0.61,5.78,0.07,7.8967,3567.12,2547.2991
25.88,27.46,0.4198,25.75,-0.8706,24.40,0.0191,78.48,0.0682,0.61,5.78,0.08,7.8938,3755.48,2770.2785
25.88,27.47,-0.6450,25.74,-0.8546,24.41,0.4047,78.48,-0.3175,0.61,5.78,0.07,7.8813,3919.95,2946.9057
25.88,27.48,-0.9948,25.73,-1.5139,24.42,-0.3394,78.48,0.4960,0.61,5.78,0.07,7.8821,4060.58,3304.0277
25.88,27.50,1.0778,25.72,-0.5767,24.42,0.0806,78.48,-0.1829,0.61,5.78,0.07,7.8835,4218.65,1714.7350
25.88,27.51,0.1860,25.71,1.3964,24.43,0.2783,78.49,-0.0096,0.61,5.78,0.09,7.8652,4358.89,1894.3016
25.88,27.52,-1.4441,25.71,-1.5842,24.43,0.0434,78.49,0.3541,0.61,5.79,0.06,7.8623,4484.60,1984.7563
25.88,27.53,-0.1707,25.69,-0.3325,24.43,-1.0632,78.49,-0.4832,0.60,5.78,0.07,7.8886,4591.25,2052.1662
25.88,27.54,-0.4061,25.69,-0.6255,24.44,-0.1750,78.49,0.0183,0.63,5.78,0.07,7.8835,4688.38,1075.5003
25.88,27.55,-0.1196,25.68,-0.7180,24.44,0.2512,78.49,0.2856,0.61,5.79,0.07,7.8777,4794.10,1252.7578
25.88,27.55,-0.4816,25.66,0.2143,24.44,0.3136,78.49,0.6507,0.60,5.78,0.07,7.8828,4886.20,1306.2537
25.81,27.56,-0.9695,25.66,-1.4142,24.44,0.2019,78.49,-0.1102,0.60,5.78,0.07,7.8828,4966.43,1369.2788
25.81,27.57,-0.7165,25.65,-1.2553,24.45,0.1746,78.48,-0.2465,0.61,5.79,0.07,7.8828,5035.37,1487.1287
25.81,27.57,-0.1079,25.64,-0.6239,24.45,-0.1027,78.49,-0.1077,0.60,5.78,0.06,7.8916,5105.34,783.2581
25.88,27.58,0.2325,25.62,0.4773,24.45,0.2365,78.49,0.4273,0.61,5.78,0.06,7.8945,5171.97,845.9593
25.88,27.59,0.3958,25.61,1.3862,24.45,0.0179,78.49,0.2625,0.61,5.78,0.08,7.8755,5228.30,882.8231
25.88,27.59,0.0417,25.60,0.5383,24.46,0.3523,78.48,-0.4669,0.60,5.78,0.06,7.8886,5278.61,1081.4243
25.88,27.60,1.4900,25.60,0.3857,24.46,0.1682,78.49,-0.3307,0.62,5.78,0.06,7.8513,5330.44,560.8321
25.88,27.60,1.3451,25.59,0.8361,24.46,0.0128,78.49,0.0938,0.61,5.78,0.07,7.9319,5376.37,524.7856
25.88,27.60,0.9253,25.58,-0.8428,24.46,-0.2092,78.48,-0.5621,0.60,5.78,0.06,7.8894,5416.44,550.5485
25.88,27.60,0.0928,25.56,-0.7370,24.47,-0.0806,78.48,-0.3850,0.60,5.79,0.08,7.8535,5456.35,668.5553
25.88,27.61,0.2031,25.55,-0.2024,24.47,0.0850,78.48,-0.5655,0.60,5.78,0.08,7.8725,5490.82,554.5837
25.88,27.61,0.0185,25.55,0.0192,24.47,0.0801,78.48,-0.2142,0.61,5.78,0.06,7.8916,5516.63,295.0003
25.88,27.62,0.2836,25.54,0.8695,24.47,0.0942,78.49,0.1057,0.60,5.78,0.07,7.8806,5554.60,382.2521
25.88,27.62,-0.0739,25.53,-0.5697,24.48,-0.4185,78.49,0.5115,0.61,5.78,0.06,7.8886,5578.35,284.4160
25.88,27.62,-0.0807,25.52,-0.2666,24.48,0.0226,78.49,0.2993,0.60,5.78,0.08,7.8703,5602.24,440.9409
25.88,27.63,0.3989,25.52,-0.1670,24.48,0.2491,78.49,0.1123,0.60,5.78,0.08,7.8161,5625.50,404.9259
25.88,27.63,0.3476,25.51,0.1376,24.48,0.1917,78.49,0.6067,0.60,5.78,0.06,7.8850,5644.67,212.0413
25.88,27.63,-1.1640,25.50,-0.8774,24.48,-0.2015,78.49,0.1398,0.60,5.79,0.06,7.8864,5662.01,203.3770
25.88,27.64,-0.0018,25.49,-0.4631,24.49,0.3536,78.49,-0.6541,0.60,5.79,0.08,7.9429,5677.29,216.3970
25.88,27.64,0.3650,25.48,0.5944,24.49,0.5465,78.49,0.6541,0.60,5.79,0.06,7.8857,5693.28,312.2901
25.88,27.64,1.4519,25.47,0.8314,24.49,0.6451,78.49,0.3342,0.60,5.78,0.06,7.8894,5709.23,288.3213
25.88,27.65,-0.6762,25.47,-0.9261,24.49,-0.3847,78.49,0.1816,0.60,5.79,0.08,7.8725,5722.81,151.7624
25.88,27.65,0.4892,25.46,0.0456,24.49,0.3976,78.49,-0.3320,0.60,5.79,0.06,7.8952,5732.92,117.8487
25.88,27.65,-0.9027,25.45,-1.1605,24.49,-0.0324,78.49,-0.7831,0.61,5.79,0.07,7.8755,5742.21,133.1676
25.88,27.65,0.2317,25.44,1.5152,24.50,0.2140,78.49,-0.0148,0.61,5.78,0.06,7.8916,5752.45,214.1484
25.88,27.65,0.5885,25.43,1.5329,24.50,0.0412,78.49,-0.2320,0.61,5.79,0.07,7.8857,5763.19,180.5147
25.88,27.65,1.2924,25.42,1.4052,24.50,0.3338,78.49,0.1820,0.59,5.78,0.06,7.8930,5771.78,94.0549
25.88,27.66,0.4585,25.41,-0.0409,24.50,-0.1488,78.49,-0.1214,0.60,5.78,0.06,7.8850,5777.87,71.1643
25.88,27.66,-0.0304,25.41,0.3507,24.50,0.0844,78.48,0.1296,0.59,5.78,0.06,7.8872,5783.28,74.7210
25.88,27.66,-0.2663,25.40,-0.2643,24.51,-0.2620,78.49,-0.4250,0.60,5.79,0.06,7.8930,5790.06,143.8748
25.88,27.66,-0.4145,25.39,-0.9192,24.51,-0.2800,78.49,-0.4642,0.59,5.79,0.09,7.8652,5797.25,116.8611
25.88,27.66,0.0727,25.38,-1.6787,24.51,-0.5421,78.49,-1.0114,0.60,5.79,0.06,7.8930,5802.72,61.8208
25.88,27.66,0.3313,25.37,-0.1405,24.51,0.0599,78.49,0.7115,0.60,5.77,0.06,7.8850,5806.65,45.6495
25.88,27.66,0.4197,25.37,0.9414,24.51,0.4471,78.49,0.0789,0.60,5.79,0.06,7.8974,5808.15,10.9147
25.88,27.67,0.4464,25.36,0.2105,24.51,-0.3625,78.49,0.1130,0.60,5.78,0.06,7.8945,5812.02,94.6132
25.88,27.67,1.3403,25.35,0.4561,24.51,0.3751,78.49,-0.5533,0.60,5.78,0.07,7.8872,5816.89,78.3453
25.88,27.67,-0.0605,25.34,-2.0258,24.51,0.0039,78.49,-0.4322,0.60,5.77,0.06,7.8857,5820.53,41.6808
25.88,27.67,-0.2322,25.33,-0.3494,24.51,-0.0190,78.49,-0.9309,0.61,5.78,0.07,7.8777,5823.86,40.2400
25.88,27.67,-1.7647,25.32,-0.9815,24.52,0.1219,78.49,-0.7141,0.60,5.78,0.06,7.8857,5827.65,64.0241
25.81,27.68,1.1468,25.32,0.6799,24.52,-0.0399,78.49,-0.1933,0.60,5.79,0.06,7.8901,5830.45,22.4128
25.81,27.67,-1.0200,25.31,-1.4882,24.52,0.0686,78.49,0.1933,0.60,5.78,0.06,7.8886,5831.57,54.6241
25.81,27.68,0.3743,25.30,-0.0795,24.52,-0.1308,78.49,-0.7034,0.60,5.78,0.06,7.8842,5834.14,28.7620
25.88,27.68,-0.1312,25.29,-1.9205,24.52,0.2073,78.49,-0.2128,0.60,5.79,0.07,7.8879,5836.60,33.9930
